Label,Sticker price,Mileage,Years since manufacture,Plug-in,New
New Hybrid LE,35000,0,0,FALSE,TRUE
New Hybrid XSE (good deal),40000,0,0,FALSE,TRUE
New Hybrid XSE (typical deal),43000,0,0,FALSE,TRUE
New Hybrid XLE Premium,41000,0,0,FALSE,TRUE
New Plug In XSE,51000,0,0,FALSE,TRUE
New Plug In SE,48000,0,0,FALSE,TRUE
2023 RAV4 Hybrid XSE AWD SUV AWD,37500,"48,555",2,FALSE,FALSE
2022 RAV4 Hybrid XSE awd,38795,"21557",3,FALSE,FALSE
2024 RAV4 Hybrid XSE AWD,40500,"16737",1,FALSE,FALSE
2022 RAV4 Hybrid XSE FWD,"35000","43984",3,FALSE,FALSE
2021 RAV4 Hybrid XSE FWD,"29900","76385",4,FALSE,FALSE
2021 RAV4 Prime XSE AWD,"32237","88322",4,FALSE,FALSE
2021 RAV4 Prime SE FWD,"36500","18641",4,FALSE,FALSE
2021 RAV4 Prime XSE AWD SUV AWD,"38799","28544",4,FALSE,FALSE
2021 RAV4 Prime XSE AWD,"34995","75527",4,FALSE,FALSE